rowid,ID,Country,Type,Date,Year,Title,Outcome
247,Switzerland Proactive,Switzerland,Proactive,2013-02-18,2013,add 10% to pension pay-outs,PostAdmissible
248,Switzerland Proactive,Switzerland,Proactive,2013-02-13,2013,all income from traffic related taxes should finance traffic projects,PostAdmissible
249,Switzerland Proactive,Switzerland,Proactive,2012-08-13,2012,prevent price speculation on raw produce and food products,PostAdmissible
250,Switzerland Proactive,Switzerland,Proactive,2012-06-06,2012,enforce deportation for criminal foreign citizens,PostAdmissible
251,Switzerland Proactive,Switzerland,Proactive,2012-03-14,2012,unconditional basic income,PostAdmissible
252,Switzerland Proactive,Switzerland,Proactive,2012-01-31,2012,"improve public transport, also finance it more",PostAdmissible
253,Switzerland Proactive,Switzerland,Proactive,2011-08-26,2011,the swiss national banks gold reserves should be inalienable,PostAdmissible
254,Switzerland Proactive,Switzerland,Proactive,2011-07-20,2011,increase tax on inheritances,PostAdmissible
255,Switzerland Proactive,Switzerland,Proactive,2011-06-30,2011,Limit immigration,PostAdmissible
256,Switzerland Proactive,Switzerland,Proactive,2011-05-24,2011,subplant VAT with energy usage tax,PostAdmissible
257,Switzerland Proactive,Switzerland,Proactive,2011-04-26,2011,get out of nuclear power,PostAdmissible
258,Switzerland Proactive,Switzerland,Proactive,2011-04-11,2011,prevent overpopulation,PostAdmissible
259,Switzerland Proactive,Switzerland,Proactive,2011-04-08,2011,exempt child support and education costs from taxes,PostAdmissible
260,Switzerland Proactive,Switzerland,Proactive,2011-04-08,2011,"abolish marriage tax disadvantages, enshirne marriage as between man and woman in constitution",PostAdmissible
261,Switzerland Proactive,Switzerland,Proactive,2011-03-24,2011,Abolition of lump-sum taxation,PostAdmissible
262,Switzerland Proactive,Switzerland,Proactive,2011-02-11,2011,promote resource efficient and environmentfriendly economics,PostAdmissible
263,Switzerland Proactive,Switzerland,Proactive,2011-01-12,2011,nationalize healthcare,PostAdmissible
264,Switzerland Proactive,Switzerland,Proactive,2010-12-14,2010,minimum wage,PostAdmissible
265,Switzerland Proactive,Switzerland,Proactive,2010-07-02,2010,nationalize scholarship regulation,PostAdmissible
266,Switzerland Proactive,Switzerland,Proactive,2010-06-10,2010,abolish compulsory military service,PostAdmissible
267,Switzerland Proactive,Switzerland,Proactive,2010-03-18,2010,change VAT rate for gastronomy,PostAdmissible
268,Switzerland Proactive,Switzerland,Proactive,2010-01-08,2010,direct election to federal council,PostAdmissible
269,Switzerland Proactive,Switzerland,Proactive,2009-12-18,2009,prohibit paying obligatory healthcare from paying for abortions,PostAdmissible
270,Switzerland Proactive,Switzerland,Proactive,2009-12-18,2009,tax benefits for parents raising their children themselves,PostAdmissible
271,Switzerland Proactive,Switzerland,Proactive,2009-09-29,2009,prohibit convicted pedophiles,PostAdmissible
272,Switzerland Proactive,Switzerland,Proactive,2009-09-14,2009,tie highest wages in a company to lowest paid wages in ratio 1:12,PostAdmissible
274,Switzerland Proactive,Switzerland,Proactive,2009-04-15,2009,protections from passive smoking,PostAdmissible
277,Switzerland Proactive,Switzerland,Proactive,2008-02-12,2008,mandatory referendums on international commitments,PostAdmissible
278,Switzerland Proactive,Switzerland,Proactive,2007-11-26,2007,six weeks of holidays for everyone,PostAdmissible
279,Switzerland Proactive,Switzerland,Proactive,2007-08-13,2007,tighten gun laws,PostAdmissible
280,Switzerland Proactive,Switzerland,Proactive,2007-07-20,2007,promote home ownership for senior citizens,PostAdmissible
281,Switzerland Proactive,Switzerland,Proactive,2007-07-20,2007,promote home ownership via Bausparen,PostAdmissible
284,Switzerland Proactive,Switzerland,Proactive,2007-04-10,2007,prohibit building minarets,PostAdmissible
285,Switzerland Proactive,Switzerland,Proactive,2007-03-06,2007,promote and facilitate bausparen,PostAdmissible
286,Switzerland Proactive,Switzerland,Proactive,2006-10-31,2006,limit tax competion in switzerland by consolidating taxation nationally,PostAdmissible
287,Switzerland Proactive,Switzerland,Proactive,2006-10-05,2006,more regulation on joint stock companies,PostAdmissible
288,Switzerland Proactive,Switzerland,Proactive,2006-06-07,2006,prohibit the export of war materials,PostAdmissible
289,Switzerland Proactive,Switzerland,Proactive,2006-06-01,2006,limit percentage of secondary homes per muncipality,PostAdmissible
290,Switzerland Proactive,Switzerland,Proactive,2006-01-02,2006,increase animal protection,PostAdmissible
291,Switzerland Proactive,Switzerland,Proactive,2005-05-20,2005,changes to pension ages,PostAdmissible
292,Switzerland Proactive,Switzerland,Proactive,2004-11-01,2004,prevent association complaints for certain cases,PostAdmissible
294,Switzerland Proactive,Switzerland,Proactive,2004-08-03,2004,remove statute of limitation for sex crimes against children,PostAdmissible
295,Switzerland Proactive,Switzerland,Proactive,2004-07-02,2004,cannabis regulation,PostAdmissible
296,Switzerland Proactive,Switzerland,Proactive,2004-04-06,2004,allow muncipalities to decide on their methods of naturalization,PostAdmissible
297,Switzerland Proactive,Switzerland,Proactive,2004-04-15,2004,no military overflight of tourist areas in peace times,PostAdmissible
298,Switzerland Proactive,Switzerland,Proactive,2003-03-25,2003,nationalize and consolidate health insurance,PostAdmissible
299,Switzerland Proactive,Switzerland,Proactive,2003-01-27,2003,no GMO in swiss agriculture,PostAdmissible
